"Name","Release_Price","Max_Power","Memory","Memory_Bandwidth","Core_Speed","Manufacturer","Memory_Type","Release_Year","log_Memory_Bandwidth"
"Radeon RX 580 Sapphire Pulse 4GB",200,150,8192,224,1100,"AMD","GDDR5",2017,5.41164605185504
"GeForce GTX 1060 Gigabyte Mini ITX OC 6GB",292,120,6144,192.2,1531,"Nvidia","GDDR5",2016,5.25853649653619
"Radeon R7 360 v2 Gigabyte OC 2GB Edition",109,150,2048,104,1200,"AMD","GDDR5",2015,4.64439089914137
"GeForce GTX 1050 Ti Gigabyte D5 4GB",140,75,4096,112.1,1316,"Nvidia","GDDR5",2016,4.71939133007811
"GeForce GTX 1060 MSI Armor V1 3G",221,120,3072,192.2,1100,"Nvidia","GDDR5",2016,5.25853649653619
"GeForce GTX 1060 MSI Gaming X 3GB",235.02,120,3072,192.2,1100,"Nvidia","GDDR5",2016,5.25853649653619
"GeForce GTX 1060 Zotac AMP 6GB Edition",339,120,6144,192.2,1556,"Nvidia","GDDR5",2016,5.25853649653619
"GeForce GTX 1070 Palit JetStream",485,150,8192,272,1506,"Nvidia","GDDR5",2016,5.605802066296
"GeForce GTX 470",349,215,1280,133.9,607,"Nvidia","GDDR5",2010,4.89709325269713
"GeForce GTX 970 4GB",329.99,145,4096,224.4,1050,"Nvidia","GDDR5",2014,5.41343017364854
"Radeon RX 470 XFX RS Black Edition 4GB",200,120,4096,224,926,"AMD","GDDR5",2016,5.41164605185504
"GeForce GTX 970 EVGA 4GB Edition",329.99,148,4096,224.4,1050,"Nvidia","GDDR5",2014,5.41343017364854
"Radeon R7 250X",99,80,2048,72,950,"AMD","GDDR5",2014,4.27666611901606
"Radeon R7 370 Gigabyte WindForce 2X OC (Rev 1.0) 2GB Edition",149,110,2048,179.2,975,"AMD","GDDR5",2015,5.18850250054083
"GeForce GTX 460 768MB",199,150,768,86.4,675,"Nvidia","GDDR5",2010,4.45898767581001
"GeForce GTX 980 Asus Strix OC 4GB Edition",579.99,300,4096,224.4,1178,"Nvidia","GDDR5",2014,5.41343017364854
"Radeon RX 480 Sapphire 8GB",240,150,8192,256,1120,"AMD","GDDR5",2016,5.54517744447956
"GeForce GTX 1060 Gigabyte Windforce 2X OC 6GB",300.64,120,6144,192.2,1556,"Nvidia","GDDR5",2016,5.25853649653619
"Radeon R9 380 Club3D royalQueen OC 4GB Edition",279,190,4096,188.8,980,"AMD","GDDR5",2015,5.2406882537114
"Radeon RX 460 Sapphire Nitro 2G D5",135,75,2048,112,1090,"AMD","GDDR5",2016,4.71849887129509
"GeForce GTX 1050 MSI 2GB",130,75,2048,112.1,1354,"Nvidia","GDDR5",2016,4.71939133007811
"Radeon RX 460 XFX 2GB Single Fan",140,75,2048,112,1090,"AMD","GDDR5",2016,4.71849887129509
"GeForce GTX 1050 Ti EVGA Gaming 4GB",145,75,4096,112.1,1290,"Nvidia","GDDR5",2016,4.71939133007811
"Radeon RX 560 Gigabyte Gaming OC 2GB",109.99,80,2048,112,1175,"AMD","GDDR5",2017,4.71849887129509
"GeForce GTX 1070 Asus Founders",379,150,8192,256.3,1506,"Nvidia","GDDR5",2016,5.54634863337003
"GeForce GTX 1070 MSI Gaming X 8GB Edition",450,150,8192,259.5,1607,"Nvidia","GDDR5",2016,5.55875670260594
